year	year_id	team_id	team_name	jersey_number	summary_type	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2017	12480	370	Loyola Marymount	-	Totals	-	-	-	-	-	6025:00	779	1,755	44.39	217	614	35.34	338	546	61.90	2,113	70.43	332	689	1,021	34.03	444	395	228	120	610	""	""	19
2017	12480	370	Loyola Marymount	-	Opponent Totals	-	-	-	-	-	6025:00	718	1,599	44.90	197	567	34.74	492	688	71.51	2,125	70.83	296	747	1,043	34.77	433	447	185	104	557	""	""	9
2017	12480	380	Maine 	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	55	56	111	3.47	""	13	""	""	""	""	""	""
2017	12480	380	Maine 	-	Totals	-	-	-	-	-	6397:00	746	1,853	40.26	212	665	31.88	365	558	65.41	2,069	64.66	325	798	1,123	35.09	377	419	165	63	562	""	""	10
2017	12480	380	Maine 	-	Opponent Totals	-	-	-	-	-	6399:00	861	1,868	46.09	234	651	35.94	444	616	72.08	2,400	75.00	313	883	1,196	37.38	449	371	213	112	512	""	""	8
2017	12480	381	Manhattan 	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	48	50	98	3.16	""	14	""	""	3	""	""	""
2017	12480	381	Manhattan 	-	Totals	-	-	-	-	-	6523:00	754	1,814	41.57	209	637	32.81	542	743	72.95	2,259	70.59	355	766	1,121	35.03	350	530	224	105	793	""	""	28
2017	12480	381	Manhattan 	-	Opponent Totals	-	-	-	-	-	6526:00	796	1,759	45.25	224	571	39.23	669	940	71.17	2,485	77.66	331	796	1,127	35.22	480	469	210	125	687	""	""	23
2017	12480	386	Marist	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	47	60	107	3.34	""	6	""	""	1	""	""	""
2017	12480	386	Marist	-	Totals	-	-	-	-	-	6448:00	749	1,747	42.87	245	736	33.29	480	662	72.51	2,223	69.47	235	763	998	31.19	352	409	146	83	629	""	""	15
2017	12480	386	Marist	-	Opponent Totals	-	-	-	-	-	6448:00	879	1,909	46.05	250	663	37.71	522	707	73.83	2,530	79.06	374	854	1,228	38.38	474	350	204	99	614	""	""	16
2017	12480	387	Marquette 	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	42	41	83	2.59	""	16	""	""	1	""	""	""
2017	12480	387	Marquette 	-	Totals	-	-	-	-	-	6425:00	919	1,889	48.65	336	783	42.91	457	585	78.12	2,631	82.22	280	779	1,059	33.09	525	396	231	115	621	""	""	18
2017	12480	387	Marquette 	-	Opponent Totals	-	-	-	-	-	6425:00	858	1,870	45.88	235	639	36.78	465	667	69.72	2,418	75.56	321	754	1,075	33.59	511	418	210	115	549	""	""	5
2017	12480	388	Marshall 	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	52	78	130	3.71	""	6	""	""	1	""	""	""
2017	12480	388	Marshall 	-	Totals	-	-	-	-	-	7075:00	1,021	2,237	45.64	356	962	37.01	599	816	73.41	2,997	85.63	325	969	1,294	36.97	576	433	211	140	644	""	""	21
2017	12480	388	Marshall 	-	Opponent Totals	-	-	-	-	-	7075:00	1,104	2,393	46.13	242	704	34.38	489	742	65.90	2,939	83.97	469	1,008	1,477	42.20	523	462	214	117	714	""	""	20
2017	12480	392	Maryland 	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	57	49	106	3.21	""	10	""	""	1	""	""	""
2017	12480	392	Maryland 	-	Totals	-	-	-	-	-	6625:00	827	1,840	44.95	272	757	35.93	512	732	69.95	2,438	73.88	351	821	1,172	35.52	472	426	180	154	614	""	""	8
2017	12480	392	Maryland 	-	Opponent Totals	-	-	-	-	-	6625:00	797	1,917	41.58	212	628	33.76	440	624	70.51	2,246	68.06	384	776	1,160	35.15	370	417	202	118	647	""	""	14
2017	12480	400	Massachusetts 	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	47	39	86	2.61	""	15	""	""	""	""	""	""
2017	12480	400	Massachusetts 	-	Totals	-	-	-	-	-	6600:00	847	1,939	43.68	234	789	29.66	443	671	66.02	2,371	71.85	333	852	1,185	35.91	529	489	250	169	722	""	""	14
2017	12480	400	Massachusetts 	-	Opponent Totals	-	-	-	-	-	6600:00	783	1,897	41.28	212	615	34.47	594	844	70.38	2,372	71.88	368	852	1,220	36.97	453	472	221	95	603	""	""	14
2017	12480	402	McNeese	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	46	44	90	3.10	""	9	""	""	""	""	""	""
2017	12480	402	McNeese	-	Totals	-	-	-	-	-	5825:00	715	1,697	42.13	195	588	33.16	418	610	68.52	2,043	70.45	285	691	976	33.66	302	403	159	91	574	""	""	21
2017	12480	402	McNeese	-	Opponent Totals	-	-	-	-	-	5825:00	796	1,774	44.87	196	562	34.88	504	702	71.79	2,292	79.03	387	804	1,191	41.07	428	384	184	93	569	""	""	9
2017	12480	404	Memphis 	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	48	48	96	3.00	""	17	""	""	""	""	""	""
2017	12480	404	Memphis 	-	Totals	-	-	-	-	-	6450:00	852	1,926	44.24	181	613	29.53	482	706	68.27	2,367	73.97	373	799	1,172	36.62	508	368	221	150	534	""	""	6
2017	12480	404	Memphis 	-	Opponent Totals	-	-	-	-	-	6452:00	794	1,879	42.26	246	729	33.74	428	623	68.70	2,262	70.69	352	809	1,161	36.28	433	435	185	132	609	""	""	14
2017	12480	406	Mercer	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	2	0.06	56	57	113	3.53	""	5	""	""	1	""	""	""
2017	12480	406	Mercer	-	Totals	-	-	-	-	-	6476:00	787	1,774	44.36	244	698	34.96	449	574	78.22	2,269	70.91	367	807	1,174	36.69	432	367	134	74	547	""	""	9
2017	12480	406	Mercer	-	Opponent Totals	-	-	-	-	-	6475:00	735	1,771	41.50	272	790	34.43	442	592	74.66	2,184	68.25	317	682	999	31.22	430	328	180	107	591	""	""	7
